internal_id, planet_name                  , star_name                  , num_stars, num_planets, num_moons, is_circumbinary, discovery_method             , discovery_year, discovery_locale, discovery_facility                            , discovery_telescope                                        , discovery_instrument                      , orbital_period       , orbit_radius    , radius_earth, mass_earth   , planet_density, eccentricity, insolation_flux, planet_temp, has_transit_variations, spectral_type   , star_temp, star_radius, star_mass, star_metallicity, star_luminosity, star_gravity, star_age, ra_deg     , dec_deg    , distance_pc  , star_brightness
       6048, WASP-74 b                    , WASP-74                    ,         1,           1,         0,               0, Transit                      ,           2015, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.13775000000,     0.0344300000,  15.24424000,  228.83760000,       0.369700,     0.000000,        531.1590,     1865.00,                      0, F9              ,   5990.00,    1.420000,  0.980000, 0.3900          , 0.39971        ,     4.390000,   3.4900, 304.5388430, -1.0760033 ,  149.21600000,       9.5723000
       6049, WASP-75 b                    , WASP-75                    ,         2,           1,         0,               0, Transit                      ,           2013, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.48419300000,     0.0375000000,  14.23500000,  340.06000000,       0.690000,     0.000000,       1657.0000,     1710.00,                      0, F9              ,   6100.00,    1.260000,  1.140000, 0.0700          , 0.30426        ,     4.290000,   3.5000, 342.3858995, -10.6754686,  294.00100000,      11.3347000
       6050, WASP-76 b                    , WASP-76                    ,         2,           1,         0,               0, Transit                      ,           2016, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         1.80988198000,     0.0330000000,  20.78145022,  284.13859586,       0.170000,     0.000000,       4104.0000,     2228.00,                      0, F7              ,   6329.00,    1.756000,  1.458000, 0.3660          , 0.65418        ,     4.196000,   1.8160,  26.6329360, 2.7003890  ,  194.45900000,       9.3950700
       6051, WASP-77 A b                  , WASP-77 A                  ,         2,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         1.36002939500,     0.0232336330,  13.56000000,  529.31142902,       1.330000,     0.013530,       1440.0000,     1674.00,                      0, G8 V            ,   5617.00,    0.910000,  0.903000, -0.1000         , -0.12901       ,     4.476000,   6.2000,  37.1555223, -7.0606675 ,  105.16600000,      10.0966000
       6052, WASP-78 b                    , WASP-78                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.17518000000,     0.0348800000,  21.63337000,  352.79130000,       0.131000,     0.000000,       4812.6238,     2469.70,                      0,                 ,   6100.00,    2.460000,  1.870000, -0.3500         , 0.76274        ,     4.100000,   2.8000,  63.7562662, -22.1163901,  754.25800000,      12.1879000
       6053, WASP-79 b                    , WASP-79                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.66239200000,     0.0519000000,  17.14974047,  270.15414595,       0.130000,     0.000000,       1645.9887,     1716.20,                      0, F5              ,   6600.00,    1.510000,  1.390000, 0.0300          , 0.66447        ,     4.200000,   1.4000,  66.3709016, -30.6004362,  246.69000000,       9.9720200
       6054, WASP-8 b                     , WASP-8                     ,         2,           2,         0,               0, Transit                      ,           2010, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         8.15872000000,     0.0801000000,  12.66617000,  807.28820000,       2.100000,     0.310000,        209.1180,     1059.00,                      0, G8 V            ,   5600.00,    1.030000,  1.340000, 0.1700          , -0.05754       ,     4.500000,   3.0000, 359.9008737, -35.0313349,   89.96060000,       9.6124900
       6055, WASP-8 c                     , WASP-8                     ,         2,           2,         0,               0, Radial Velocity              ,           2013, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,      4323.00000000000,     5.2800000000,  12.50000000, 3003.37000000,       8.450000,     0.000000,                ,            ,                      0, G8 V            ,   5690.00,    0.960000,  1.040000, 0.1700          , -0.05754       ,     4.500000,   3.0000, 359.9008737, -35.0313349,   89.96060000,       9.6124900
       6056, WASP-80 b                    , WASP-80                    ,         1,           1,         0,               0, Transit                      ,           2012, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.06785234000,     0.0344000000,  11.19779100,  170.99254000,       0.717000,     0.002000,         72.4420,      825.00,                      0, K7-M0 V         ,   4143.00,    0.586000,  0.577000, -0.1300         , -1.03998       ,     4.663000,   7.0000, 303.1667996, -2.1444369 ,   49.78760000,      11.2730000
       6057, WASP-81 b                    , WASP-81                    ,         1,           1,         0,               0, Transit                      ,           2017, Ground          , Multiple Facilities                           , Multiple Telescopes                                        , Multiple Instruments                      ,         2.71647620000,     0.0390800000,  16.01766100,  231.69807000,       0.332000,     0.066000,       1034.0911,     1623.00,                      0,                 ,   5870.00,    1.283000,  1.080000, -0.3600         , 0.24551        ,     4.258000,         , 304.2079924, 3.2939492  ,  398.50500000,      12.3326000
